Show Title,Theatre,Gross,Avg. Tix,SeatsSold,Prev.,RegularShows,TotalPerf.
'NIGHT MOTHER,ROYALE,2011480,52,38478,26,65,91
110 IN THE SHADE,STUDIO 54,5169314,51,102030,27,94,121
13,JACOBS,4436369,59,72907,22,105,127
1776,GERSHWIN,13667789,40,355683,34,333,367
1984,HUDSON,6859821,61,112232,38,125,163
33 VARIATIONS,EUGENE O'NEILL,4380302,63,70012,31,85,116
42ND STREET,FORD CENTER,133018977,59,2228839,31,1524,1555
42ND STREET - ORIGINAL,ST. JAMES,61642043,0,2116510,0,1920,1920
45 SECONDS FROM BROADWAY,RICHARD RODGERS,3839871,40,95966,31,73,104
700 SUNDAYS,BROADHURST,32029177,110,287428,28,209,237
9 TO 5,MARQUIS,15231411,70,218823,23,148,171
A BEHANDING IN SPOKANE,SCHOENFELD,7304015,72,102171,20,108,128
A BRONX TALE,WALTER KERR,4888172,66,74433,18,111,129
A BRONX TALE THE MUSICAL,LONGACRE,68722973,100,682876,28,700,728
A CATERED AFFAIR,WALTER KERR,6453273,67,95542,25,116,141
A CHANGE IN THE HEIR,EDISON,85757,0,8045,16,23,39
A CHORUS LINE,SCHOENFELD,54540021,79,681614,18,759,777
A Chorus Line - Original,SHUBERT,63997588,0,2170823,0,2456,2456
A CHRISTMAS CAROL,MARQUIS,8605616,62,118494,16,105,121
A CHRISTMAS STORY,LUNT-FONTANNE,8633547,94,89233,15,51,66
A CLASS ACT,AMBASSADOR,2558362,38,68094,30,105,135
A DAY IN THE DEATH OF JOE EGG,AMERICAN AIRLINES,2874477,45,63350,24,69,93
A DELICATE BALANCE,PLYMOUTH,18418588,69,289168,63,293,356
A DOLL'S HOUSE,BELASCO,6495976,45,143989,8,150,158
"A DOLL'S HOUSE, PART 2",GOLDEN,8304641,62,127990,30,172,202
A FEW GOOD MEN,MUSIC BOX,7729208,0,327659,15,497,512
A FREE MAN OF COLOR,VIVIAN BEAUMONT,2827517,50,57542,29,61,90
A FUNNY THING HAPPENED ON THE WAY TO THE FORUM,ST. JAMES,48856284,52,924216,35,715,750
