date,location_key,state_name,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen
2021-01-12,US_AK,Alaska,,22486.0,,5400.0,,,,,,
2021-01-13,US_AK,Alaska,2055.0,24541.0,766.0,6166.0,,,,,,
2021-01-14,US_AK,Alaska,10967.0,35508.0,0.0,,,,,,,
2021-01-15,US_AK,Alaska,4038.0,39546.0,3240.0,9406.0,,,,,,
2021-01-19,US_AK,Alaska,15888.0,55434.0,1396.0,10802.0,,,,,,
2021-01-20,US_AK,Alaska,1477.0,56911.0,481.0,11283.0,,,,,,
2021-01-21,US_AK,Alaska,2538.0,59449.0,1069.0,12352.0,,,,,,
2021-01-22,US_AK,Alaska,7813.0,67262.0,1366.0,13718.0,,,,,,
2021-01-23,US_AK,Alaska,5752.0,73014.0,1488.0,15206.0,,,,,,
2021-01-24,US_AK,Alaska,4911.0,77925.0,995.0,16201.0,,,,,,
2021-01-25,US_AK,Alaska,2301.0,80226.0,472.0,16673.0,,,,,,
2021-01-26,US_AK,Alaska,974.0,81200.0,142.0,16815.0,,,,,,
2021-01-27,US_AK,Alaska,2163.0,83363.0,1282.0,18097.0,,,,,,
2021-01-28,US_AK,Alaska,2309.0,85672.0,1948.0,20045.0,,,,,,
2021-01-29,US_AK,Alaska,2982.0,88654.0,1548.0,21593.0,,,,,,
2021-01-30,US_AK,Alaska,3140.0,91794.0,1727.0,23320.0,,,,,,
2021-01-31,US_AK,Alaska,3095.0,94889.0,1225.0,24545.0,,,,,,
2021-02-01,US_AK,Alaska,1507.0,96396.0,922.0,25467.0,,,,,,
2021-02-02,US_AK,Alaska,680.0,97076.0,740.0,26207.0,,,,,,
2021-02-03,US_AK,Alaska,1000.0,98076.0,1321.0,27528.0,,,,,,
2021-02-04,US_AK,Alaska,1520.0,99596.0,2644.0,30172.0,,,,,,
2021-02-05,US_AK,Alaska,1629.0,101225.0,2421.0,32593.0,,,,,,
2021-02-06,US_AK,Alaska,1938.0,103163.0,3180.0,35773.0,,,,,,
2021-02-07,US_AK,Alaska,3148.0,106311.0,3768.0,39541.0,,,,,,
2021-02-08,US_AK,Alaska,3579.0,109890.0,1271.0,40812.0,,,,,,
2021-02-09,US_AK,Alaska,1046.0,110936.0,886.0,41698.0,,,,,,
2021-02-10,US_AK,Alaska,1512.0,112448.0,1854.0,43552.0,,,,,,
2021-02-11,US_AK,Alaska,3553.0,116001.0,2454.0,46006.0,,,,,,
2021-02-12,US_AK,Alaska,2188.0,118189.0,2963.0,48969.0,,,,,,
2021-02-13,US_AK,Alaska,4274.0,122463.0,3411.0,52380.0,,,,,,
2021-02-14,US_AK,Alaska,3918.0,126381.0,4737.0,57117.0,,,,,,
2021-02-15,US_AK,Alaska,,,,,,,,,,
2021-02-16,US_AK,Alaska,3277.0,129658.0,3847.0,60964.0,,,,,,
2021-02-17,US_AK,Alaska,1093.0,130751.0,1510.0,62474.0,,,,,,
2021-02-18,US_AK,Alaska,2740.0,133491.0,2771.0,65245.0,,,,,,
2021-02-19,US_AK,Alaska,10396.0,143887.0,6647.0,71892.0,,,,,,
2021-02-20,US_AK,Alaska,4412.0,148299.0,6731.0,78623.0,,,,,,
2021-02-21,US_AK,Alaska,4050.0,152349.0,3649.0,82272.0,,,,,,
2021-02-22,US_AK,Alaska,1223.0,153572.0,1859.0,84131.0,,,,,,
2021-02-23,US_AK,Alaska,1046.0,154618.0,615.0,84746.0,,,,,,
2021-02-24,US_AK,Alaska,0.0,154618.0,2090.0,86836.0,,,,,,
2021-02-25,US_AK,Alaska,1649.0,156267.0,3378.0,90214.0,,,,,,
2021-02-26,US_AK,Alaska,5328.0,161595.0,2019.0,92233.0,,,,,,
2021-02-27,US_AK,Alaska,2144.0,163739.0,3098.0,95331.0,,,,,,
2021-02-28,US_AK,Alaska,2996.0,166735.0,2223.0,97554.0,,,,,,
2021-03-01,US_AK,Alaska,1334.0,168069.0,2362.0,99916.0,,,,,,
2021-03-02,US_AK,Alaska,577.0,168646.0,986.0,100902.0,,,,,,
2021-03-03,US_AK,Alaska,1940.0,170586.0,1480.0,102382.0,,,,,,
2021-03-04,US_AK,Alaska,1828.0,172414.0,1747.0,104129.0,,,,,,
2021-03-05,US_AK,Alaska,0.0,172414.0,2429.0,106558.0,,,,,,
2021-03-06,US_AK,Alaska,5823.0,178237.0,3495.0,110053.0,,,,,,
2021-03-07,US_AK,Alaska,2711.0,180948.0,3734.0,113787.0,,,,,,
2021-03-08,US_AK,Alaska,1282.0,182230.0,1848.0,115635.0,,64169.0,,51458.0,,2.0
2021-03-09,US_AK,Alaska,2676.0,184906.0,1710.0,117345.0,780.0,64949.0,928.0,52386.0,2.0,4.0
2021-03-10,US_AK,Alaska,3375.0,188281.0,1728.0,119073.0,1006.0,65955.0,720.0,53106.0,2.0,6.0
2021-03-11,US_AK,Alaska,2431.0,190712.0,-119073.0,0.0,2062.0,68017.0,1060.0,54166.0,1.0,7.0
2021-03-12,US_AK,Alaska,3239.0,193951.0,0.0,0.0,-237.0,67780.0,1000.0,55166.0,31.0,38.0
2021-03-13,US_AK,Alaska,0.0,193951.0,124170.0,124170.0,1131.0,68911.0,48.0,55214.0,0.0,38.0
2021-03-14,US_AK,Alaska,8459.0,202410.0,6687.0,130857.0,4001.0,72912.0,2300.0,57514.0,386.0,424.0
2021-03-15,US_AK,Alaska,2846.0,205256.0,1675.0,132532.0,213.0,73125.0,721.0,58235.0,741.0,1165.0
2021-03-16,US_AK,Alaska,1147.0,206403.0,1375.0,133907.0,979.0,74104.0,358.0,58593.0,38.0,1203.0
2021-03-17,US_AK,Alaska,4529.0,210932.0,1903.0,135810.0,1179.0,75283.0,503.0,59096.0,221.0,1424.0
2021-03-18,US_AK,Alaska,2500.0,213432.0,2654.0,138464.0,815.0,76098.0,1725.0,60821.0,114.0,1538.0
2021-03-19,US_AK,Alaska,3349.0,216781.0,1705.0,140169.0,678.0,76776.0,869.0,61690.0,158.0,1696.0
2021-03-20,US_AK,Alaska,4376.0,221157.0,3180.0,143349.0,594.0,77370.0,1657.0,63347.0,928.0,2624.0
2021-03-21,US_AK,Alaska,7176.0,228333.0,2626.0,145975.0,1144.0,78514.0,1319.0,64666.0,163.0,2787.0
2021-03-22,US_AK,Alaska,2281.0,230614.0,928.0,146903.0,560.0,79074.0,293.0,64959.0,75.0,2862.0
2021-03-23,US_AK,Alaska,728.0,231342.0,311.0,147214.0,56.0,79130.0,181.0,65140.0,74.0,2936.0
2021-03-24,US_AK,Alaska,1695.0,233037.0,1511.0,148725.0,566.0,79696.0,615.0,65755.0,329.0,3265.0
2021-03-25,US_AK,Alaska,3025.0,236062.0,2255.0,150980.0,1254.0,80950.0,886.0,66641.0,115.0,3380.0
2021-03-26,US_AK,Alaska,3537.0,239599.0,2726.0,153706.0,889.0,81839.0,814.0,67455.0,1023.0,4403.0
2021-03-27,US_AK,Alaska,3134.0,242733.0,2992.0,156698.0,1719.0,83558.0,993.0,68448.0,280.0,4683.0
2021-03-28,US_AK,Alaska,2622.0,245355.0,3499.0,160197.0,1636.0,85194.0,1547.0,69995.0,316.0,4999.0
2021-03-29,US_AK,Alaska,1160.0,246515.0,735.0,160932.0,403.0,85597.0,242.0,70237.0,90.0,5089.0
2021-03-30,US_AK,Alaska,582.0,247097.0,572.0,161504.0,315.0,85912.0,164.0,70401.0,93.0,5182.0
2021-03-31,US_AK,Alaska,1614.0,248711.0,1596.0,163100.0,628.0,86540.0,639.0,71040.0,329.0,5511.0
2021-04-01,US_AK,Alaska,1667.0,250378.0,2225.0,165325.0,1139.0,87679.0,903.0,71943.0,182.0,5693.0
2021-04-02,US_AK,Alaska,2208.0,252586.0,2236.0,167561.0,1103.0,88782.0,751.0,72694.0,382.0,6075.0
2021-04-03,US_AK,Alaska,1677.0,254263.0,3186.0,170747.0,1427.0,90209.0,1408.0,74102.0,351.0,6426.0
2021-04-04,US_AK,Alaska,3112.0,257375.0,6078.0,176825.0,2800.0,93009.0,2443.0,76545.0,835.0,7261.0
2021-04-05,US_AK,Alaska,1001.0,258376.0,2061.0,178886.0,1214.0,94223.0,614.0,77159.0,233.0,7494.0
2021-04-06,US_AK,Alaska,508.0,258884.0,473.0,179359.0,129.0,94352.0,211.0,77370.0,133.0,7627.0
2021-04-07,US_AK,Alaska,1738.0,260622.0,2565.0,181924.0,1193.0,95545.0,938.0,78308.0,433.0,8060.0
2021-04-08,US_AK,Alaska,2497.0,263119.0,4673.0,186597.0,2478.0,98023.0,1563.0,79871.0,632.0,8692.0
2021-04-09,US_AK,Alaska,2349.0,265468.0,3361.0,189958.0,1379.0,99402.0,1372.0,81243.0,610.0,9302.0
2021-04-10,US_AK,Alaska,0.0,265468.0,0.0,189958.0,0.0,99402.0,0.0,81243.0,0.0,9302.0
2021-04-11,US_AK,Alaska,3119.0,268587.0,4856.0,194814.0,2739.0,102141.0,1514.0,82757.0,603.0,9905.0
2021-04-12,US_AK,Alaska,3625.0,272212.0,6981.0,201795.0,2536.0,104677.0,3342.0,86099.0,1102.0,11007.0
2021-04-13,US_AK,Alaska,10472.0,282684.0,20612.0,222407.0,11203.0,115880.0,8323.0,94422.0,1085.0,12092.0
2021-04-14,US_AK,Alaska,1426.0,284110.0,2724.0,225131.0,873.0,116753.0,1323.0,95745.0,527.0,12619.0
